Timestamp,HR,BR,Temp,Posture,Activity,Acceleration,Battery,BRAmplitude,ECGAmplitude,ECGNoise,XMin,XPeak,YMin,YPeak,ZMin,ZPeak
03/04/2023 10:17:58.428,72,16.7,-3276.8,172,0.05,0.08,3.913,61360.000,0.000940,0.000180,0.87,0.97,-0.14,0.02,-0.16,-0.08
03/04/2023 10:17:59.428,73,16.8,-3276.8,174,0.09,0.14,3.913,62425.000,0.000940,0.002760,0.86,1.01,-0.16,0.04,-0.18,0.04
03/04/2023 10:18:00.428,73,16.8,-3276.8,177,0.09,0.28,3.913,63219.000,0.000940,0.004480,0.79,1.04,-0.14,0.06,-0.24,0.22
03/04/2023 10:18:01.428,73,16.9,-3276.8,175,0.08,0.15,3.913,59498.000,0.000940,0.003060,0.86,0.97,-0.18,0.03,-0.13,0.07
03/04/2023 10:18:02.428,72,16.7,-3276.8,175,0.06,0.10,3.913,58243.000,0.000940,0.004900,0.87,1.01,-0.16,0.03,-0.10,0.03
03/04/2023 10:18:03.428,72,16.7,-3276.8,172,0.09,0.13,3.913,58647.000,0.000940,0.003940,0.85,0.98,-0.21,-0.01,-0.20,-0.01
03/04/2023 10:18:04.428,72,18.2,-3276.8,175,0.12,0.20,3.913,60102.000,0.000940,0.008480,0.84,1.06,-0.36,0.07,-0.21,0.04
03/04/2023 10:18:05.428,72,20.6,-3276.8,177,0.20,0.49,3.913,60992.000,0.000940,0.005920,0.71,1.13,-0.24,0.21,-0.22,0.40
03/04/2023 10:18:06.428,72,22.0,-3276.8,177,0.10,0.30,3.913,61616.000,0.000940,0.002560,0.63,1.16,-0.20,0.06,-0.28,0.26
03/04/2023 10:18:07.428,72,22.9,-3276.8,178,0.06,0.10,3.913,62616.000,0.000940,0.001540,0.87,0.98,-0.07,0.03,-0.06,0.07
03/04/2023 10:18:08.428,72,24.8,-3276.8,178,0.03,0.09,3.913,63361.000,0.000920,0.000660,0.86,0.96,0.00,0.08,-0.06,0.02
